,Unnamed: 0,room,token_id,rule_name,rule_description,prior_feedback,bound_vars,prior_resp,prior_resp_bonan,posterior_feedback,bound_vars_post,post_resp,post_resp_bonan,bn_check
106,176,uYIREe2i4Q,UQIJo156uDVLjDEFAAAK,Kappa,at least one is blue AND small,There is exactly one small blue triangle.,[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,There is exactly one small blue triangle.,[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
107,177,uYIREe2i4Q,UQIJo156uDVLjDEFAAAK,Omega,all are blue OR small,There must be one medium blue and one small green triangle. They do not need to be touching.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,2,'size')),Z.and_operator(Z.equal(x2,'green','colour'),Z.equal(x2,1,'size'))),Z.not_operator(Z.hor_operator(x1,x2,'contact'))),X),X)",bonan's rule,There must be at least one small green triangle.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
108,178,uYIREe2i4Q,UQIJo156uDVLjDEFAAAK,Upsilon,none are upright,There are at most 2 big red triangles touching each other.,"[['x1'],['x1','x2']]","Z.atmost(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size'))),Z.hor_operator(x1,x2,'contact')),X),2,X)",bonan's rule,There are at most 2 big red triangles touching each other.,"[['x1'],['x1','x2']]","Z.atmost(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size'))),Z.hor_operator(x1,x2,'contact')),X),2,X)",bonan's rule,0
109,179,uYIREe2i4Q,UQIJo156uDVLjDEFAAAK,Zeta,there is a red,It must have one big red triangle with a small triangle touching it.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),Z.and_operator(Z.equal(x2,1,'size'),Z.hor_operator(x1,x2,'contact'))),X),X)",bonan's rule,It must have a red triangle with another triangle touching it.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.hor_operator(x1,x2,'contact')),X),X)",bonan's rule,0
110,180,l39wczr1qM,7ey5lg3pMFVpQce_AAAH,Iota,one is blue,There must be at least one blue cone.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,There must be at least and no more than one blue cone,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
111,181,l39wczr1qM,7ey5lg3pMFVpQce_AAAH,Zeta,there is a red,There must be at least one red cone.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,There must be a least one red cone.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,0
112,182,l39wczr1qM,7ey5lg3pMFVpQce_AAAH,Kappa,at least one is blue AND small,There must be at least one small blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,There must be at least one small blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
113,183,l39wczr1qM,7ey5lg3pMFVpQce_AAAH,Upsilon,none are upright,There must be a small blue cone facing left.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),Z.equal(x1,'lhs','orientation')),X)",bonan's rule,There must be at least one cone laying on its side.,[['x1']],"Z.atleast(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,0
114,184,l39wczr1qM,7ey5lg3pMFVpQce_AAAH,Omega,all are blue OR small,There must be at least one blue cone pointing up.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'upright','orientation'),Z.equal(x1,'blue','colour')),1,X)",bonan's rule,There must be at least one blue cone.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
115,185,l39wczr1qM,P5INvT1S-pUfBVIdAAAI,Iota,one is blue,There  must be at least one small cone ,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,1,'size'),1,X)",bonan's rule,There should be at least one small cone,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,1,'size'),1,X)",bonan's rule,0
116,186,l39wczr1qM,P5INvT1S-pUfBVIdAAAI,Zeta,there is a red,There is a one big green cone,[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,3,'size')),1,X)",bonan's rule,One big green cone is necessary,[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,3,'size')),1,X)",bonan's rule,0
117,187,l39wczr1qM,P5INvT1S-pUfBVIdAAAI,Kappa,at least one is blue AND small,Small purple cone should be present and standing strait,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),Z.equal(x1,'upright','orientation')),X)",bonan's rule, Small purple cone should be present and stand strait,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),Z.equal(x1,'upright','orientation')),X)",bonan's rule,0
118,188,l39wczr1qM,P5INvT1S-pUfBVIdAAAI,Upsilon,none are upright,All cones must be at not strait position,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,Cones must be at not strait up position,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),X)",bonan's rule,0
119,189,l39wczr1qM,P5INvT1S-pUfBVIdAAAI,Omega,all are blue OR small,Purple cones must be present (all sizes are OK ),[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,Purple cones no matter the position,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,0
120,190,3FqaZitiM3,6dGY6eysj_-2bjNCAAAK,Iota,one is blue,there is exactly one blue,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1, X)",bonan's rule,there was exactly one blue,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1, X)",bonan's rule,0
121,192,3FqaZitiM3,6dGY6eysj_-2bjNCAAAK,Zeta,there is a red,the rule is to have 2 or more red,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),2,X)",bonan's rule,there would have to be exactly two red,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'red','colour'),2,X)",bonan's rule,0
122,195,3FqaZitiM3,Jw9DOmVyloFjpcRXAAAJ,Iota,one is blue,there is at least one blue,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,there is only one blue,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
123,197,3FqaZitiM3,Jw9DOmVyloFjpcRXAAAJ,Zeta,there is a red,at least 2 red to be correct,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),2,X)",bonan's rule,there must be at least 2 red,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),2,X)",bonan's rule,0
124,199,3FqaZitiM3,Jw9DOmVyloFjpcRXAAAJ,Upsilon,none are upright,cones of different sizes must be pointing away from eachother.,"[['x1'],['x1','x2']]","Z.forall(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.not_operator(Z.equal(x1,x2,'size')),Z.not_operator(Z.equal(x1,x2,'orientation'))),X),X)",bonan's rule,there must be cones of different sizes and color pointing in opposite directions,"[['x1'],['x1','x2']]","Z.forall(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.not_operator(Z.equal(x1,x2,'size')),Z.not_operator(Z.equal(x1,x2,'orientation'))),X),X)",bonan's rule,0
125,200,z0OuaYpr2H,T3whPHkibRMFwKcJAAAN,Zeta,there is a red,"If there is at least one red cone, Zeta waves are emitted",[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,"If there is at least one red cone, Zeta waves are emitted. ",[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,0
126,201,z0OuaYpr2H,T3whPHkibRMFwKcJAAAN,Iota,one is blue,There must be at least one red cone with at least one (MAX) blue cone. ,[['x1']],"Z.atleast(lambda x1: Z.atmost(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),1,X),1,X)",bonan's rule,There must be at least one red cone and at least one (MAX) blue cone.,[['x1']],"Z.atleast(lambda x1: Z.atmost(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),1,X),1,X)",bonan's rule,0
127,203,z0OuaYpr2H,T3whPHkibRMFwKcJAAAN,Kappa,at least one is blue AND small,"If there are blue cones and no red cones. If there are red cones, blue cones must outnumber them or be smaller.",[['x1']],"Z.forall(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.not_operator(Z.equal(x1,'red','colour')),Z.equal(x2,'blue','colour')),X),X)",bonan's rule,"If there are blue cones and no red cones. If there are red cones, blue cones must outnumber them or be smaller. ",[['x1']],"Z.forall(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.not_operator(Z.equal(x1,'red','colour')),Z.equal(x2,'blue','colour')),X),X)",bonan's rule,0
128,208,z0OuaYpr2H,JTLrmcM2mG5PPqgaAAAO,Kappa,at least one is blue AND small,you must have all three cone sizes in an area. No touching cones of different colors and only cones that are upright.,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x2,2,'size')),Z.equal(x3,3,'size')),X),X),X)",bonan's rule,There must be a purple cone nearby. Cones must be standing up. ,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x2,'upright','orientation')),X),X)",bonan's rule,0
